symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2026-08-03 08:28:00+00:00,749.84,749.95,749.84,749.95,844.0,16.0,749.902791
SPY,2026-08-03 08:29:00+00:00,749.88,749.89,749.8,749.81,556.0,7.0,749.83364
SPY,2026-08-03 08:30:00+00:00,749.91,749.91,749.71,749.71,1490.0,21.0,749.796732
SPY,2026-08-03 08:31:00+00:00,749.8,749.9,749.8,749.9,1344.0,14.0,749.819404
SPY,2026-08-03 08:32:00+00:00,749.87,749.92,749.86,749.86,602.0,18.0,749.87121
SPY,2026-08-03 08:33:00+00:00,749.85,749.85,749.68,749.69,1648.0,37.0,749.71043
SPY,2026-08-03 08:34:00+00:00,749.6746,749.695,749.6746,749.695,177.0,9.0,749.685467
SPY,2026-08-03 08:35:00+00:00,749.77,749.8,749.77,749.8,176.0,9.0,749.779167
SPY,2026-08-03 08:36:00+00:00,750.02,750.33,750.02,750.33,471.0,21.0,750.152963
SPY,2026-08-03 08:37:00+00:00,750.4,750.41,750.21,750.21,678.0,18.0,750.360636
SPY,2026-08-03 08:38:00+00:00,750.33,750.37,750.29,750.29,757.0,17.0,750.327849
SPY,2026-08-03 08:39:00+00:00,750.34,750.47,750.34,750.41,528.0,16.0,750.41695
SPY,2026-08-03 08:40:00+00:00,750.45,750.47,750.4399,750.45,509.0,20.0,750.449246
SPY,2026-08-03 08:41:00+00:00,750.37,750.38,750.37,750.37,9516.0,64.0,750.370403
SPY,2026-08-03 08:42:00+00:00,750.59,750.59,750.51,750.51,233.0,15.0,750.548459
SPY,2026-08-03 08:43:00+00:00,750.4617,750.49,750.31,750.31,628.0,14.0,750.392976
SPY,2026-08-03 08:44:00+00:00,750.31,750.31,750.26,750.3,1260.0,18.0,750.300164
SPY,2026-08-03 08:45:00+00:00,750.32,750.33,750.31,750.33,2002.0,21.0,750.321887
SPY,2026-08-03 08:46:00+00:00,750.41,750.43,750.41,750.43,311.0,9.0,750.417435
SPY,2026-08-03 08:47:00+00:00,750.25,750.25,750.11,750.11,1801.0,35.0,750.151482
SPY,2026-08-03 08:48:00+00:00,750.17,750.17,750.129,750.129,398.0,18.0,750.140803
SPY,2026-08-03 08:49:00+00:00,750.23,750.32,750.2,750.32,1654.0,17.0,750.225143
SPY,2026-08-03 08:50:00+00:00,750.35,750.35,750.31,750.31,612.0,9.0,750.320671
SPY,2026-08-03 08:51:00+00:00,750.37,750.37,750.3,750.32,1310.0,16.0,750.322658
SPY,2026-08-03 08:52:00+00:00,750.42,750.42,750.39,750.39,356.0,9.0,750.398378
SPY,2026-08-03 08:53:00+00:00,750.33,750.33,750.33,750.33,103.0,8.0,750.33
SPY,2026-08-03 08:55:00+00:00,750.46,750.48,750.46,750.48,127.0,15.0,750.47
SPY,2026-08-03 08:56:00+00:00,750.52,750.73,750.52,750.73,1571.0,41.0,750.614457
SPY,2026-08-03 08:57:00+00:00,750.7,750.7,750.65,750.65,199.0,8.0,750.689474
SPY,2026-08-03 08:58:00+00:00,750.58,750.58,750.58,750.58,150.0,7.0,750.58
SPY,2026-08-03 08:59:00+00:00,750.69,750.75,750.69,750.74,854.0,12.0,750.714038
SPY,2026-08-03 09:00:00+00:00,750.8224,750.87,750.67,750.74,1112.0,34.0,750.804595
SPY,2026-08-03 09:01:00+00:00,750.73,750.73,750.73,750.73,154.0,11.0,750.73
SPY,2026-08-03 09:02:00+00:00,750.62,750.62,750.62,750.62,573.0,19.0,750.62
SPY,2026-08-03 09:03:00+00:00,750.6066,750.6066,750.55,750.55,389.0,44.0,750.572233
SPY,2026-08-03 09:04:00+00:00,750.58,750.61,750.58,750.6,729.0,49.0,750.596777
SPY,2026-08-03 09:06:00+00:00,750.57,750.59,750.57,750.58,300.0,33.0,750.57799
SPY,2026-08-03 09:07:00+00:00,750.52,750.52,750.52,750.52,145.0,7.0,750.52
SPY,2026-08-03 09:10:00+00:00,750.55,750.56,750.55,750.56,1088.0,11.0,750.550385
SPY,2026-08-03 09:11:00+00:00,750.45,750.45,750.27,750.27,322.0,35.0,750.332376
SPY,2026-08-03 09:12:00+00:00,750.27,750.29,750.25,750.28,709.0,21.0,750.278792
SPY,2026-08-03 09:13:00+00:00,750.27,750.42,750.27,750.42,202.0,5.0,750.326667
SPY,2026-08-03 09:14:00+00:00,750.4,750.46,750.39,750.46,547.0,13.0,750.407787
SPY,2026-08-03 09:16:00+00:00,750.45,750.55,750.42,750.55,642.0,15.0,750.460232
SPY,2026-08-03 09:17:00+00:00,750.66,750.66,750.66,750.66,133.0,11.0,750.66
SPY,2026-08-03 09:18:00+00:00,750.5,750.5,750.5,750.5,500.0,5.0,750.5
SPY,2026-08-03 09:19:00+00:00,750.74,750.74,750.63,750.63,172.0,5.0,750.661884
SPY,2026-08-03 09:20:00+00:00,750.64,750.64,750.64,750.64,64.0,2.0,750.64
SPY,2026-08-03 09:21:00+00:00,750.64,750.64,750.58,750.59,623.0,14.0,750.603214
SPY,2026-08-03 09:22:00+00:00,750.65,750.65,750.61,750.61,125.0,4.0,750.636667
SPY,2026-08-03 09:23:00+00:00,750.64,750.64,750.64,750.64,9331.0,40.0,750.64
SPY,2026-08-03 09:24:00+00:00,750.53,750.53,750.49,750.49,548.0,14.0,750.516488
SPY,2026-08-03 09:25:00+00:00,750.48,750.53,750.48,750.53,266.0,10.0,750.498534
